9787208137820	26803255	5	0	0	2	10	48	https://img1.doubanio.com/lpic/s28774987.jpg
9787544225151	1059503	64.5%	28.3%	6.2%	0.7%	0.3%	696	68	0	105	4133	1717	https://img3.doubanio.com/lpic/s1112624.jpg
9787530478097	26599658	8.3%	25.0%	50.0%	8.3%	8.3%	16	0	0	0	28	4	https://img3.doubanio.com/lpic/s28283420.jpg
9787508047577	3134580	47.1%	41.2%	11.8%	0.0%	0.0%	1	0	0	6	15	41	https://img1.doubanio.com/lpic/s3258987.jpg
9787505609976	3930944	50.0%	30.0%	18.0%	2.0%	0.0%	23	2	0	6	129	148	https://img3.doubanio.com/lpic/s3954570.jpg
9787533264123	5363765	45.5%	32.7%	18.2%	3.6%	0.0%	20	1	0	1	69	41	https://img1.doubanio.com/lpic/s4662128.jpg
9787534663048	10831574	76.5%	23.5%	0.0%	0.0%	0.0%	3	6	0	1	21	50	https://img3.doubanio.com/lpic/s10425472.jpg
9789620431746	10461698	43.8%	42.2%	13.3%	0.8%	0.0%	42	2	0	39	164	2545	https://img1.doubanio.com/lpic/s7056447.jpg
9787229105037	26792167	80.8%	19.2%	0.0%	0.0%	0.0%	9	16	0	1	21	45	https://img3.doubanio.com/lpic/s28716094.jpg
9787550270336	26738922	74.1%	11.1%	14.8%	0.0%	0.0%	15	3	0	3	33	351	https://img3.doubanio.com/lpic/s28480513.jpg
9787508613550	3312065	16.5%	54.4%	27.1%	1.7%	0.3%	183	12	0	34	779	846	https://img3.doubanio.com/lpic/s3377802.jpg
9787544824286	10555475	1	1	0	0	7	5	https://img1.doubanio.com/lpic/s8968718.jpg
9787531816720	1905830	48.8%	36.8%	13.8%	0.5%	0.1%	735	24	0	121	6666	1355	https://img3.doubanio.com/lpic/s1884980.jpg
9787544242783	3625122	41.6%	48.1%	9.1%	1.3%	0.0%	22	1	0	3	104	47	https://img1.doubanio.com/lpic/s6767639.jpg
9787532426843	1441174	38.9%	45.8%	14.3%	0.9%	0.2%	77	26	0	5	648	73	https://img1.doubanio.com/lpic/s1458677.jpg
9787532260423	3664840	57.9%	28.9%	10.5%	0.0%	2.6%	7	1	0	1	55	33	https://img1.doubanio.com/lpic/s3743797.jpg
9787532934430	6904611	41.3%	43.5%	13.0%	2.2%	0.0%	11	2	0	4	59	54	https://img3.doubanio.com/lpic/s7649560.jpg
9787543488403	7056687	60.5%	27.9%	11.6%	0.0%	0.0%	15	0	0	1	58	51	https://img1.doubanio.com/lpic/s8903867.jpg
9787550256095	26612170	0	0	0	0	11	4	https://img3.doubanio.com/lpic/s28298253.jpg
9787540431488	1143357	19.4%	52.8%	22.2%	0.0%	5.6%	7	0	0	12	48	53	https://img3.doubanio.com/lpic/s8979980.jpg
9787539447711	10518812	64.4%	32.2%	2.3%	0.0%	1.1%	36	1	0	1	105	130	https://img3.doubanio.com/lpic/s11098952.jpg
9782107745503	3551062	55.2%	32.8%	12.1%	0.0%	0.0%	14	2	0	1	80	48	https://img1.doubanio.com/lpic/s3847817.jpg
9787533264581	5953423	32.8%	49.3%	17.9%	0.0%	0.0%	22	2	0	2	84	111	https://img3.doubanio.com/lpic/s6480583.jpg
9787221079435	2370817	51.1%	40.4%	8.5%	0.0%	0.0%	13	4	0	10	60	117	https://img3.doubanio.com/lpic/s11273144.jpg
9787537564779	25805125	100.0%	0.0%	0.0%	0.0%	0.0%	1	0	0	1	12	19	https://img5.doubanio.com/lpic/s27194766.jpg
9787544254533	6429273	25.9%	48.1%	25.9%	0.0%	0.0%	14	0	0	4	35	9	https://img3.doubanio.com/lpic/s6882054.jpg
